issue_key,file_path,file,rule,message,line,type,effort,impact_severity,impact_quality,rank,llm_reasoning
AZ4INX21UdMD1-xUqr7X,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,secrets:S6703,Make sure this database password gets changed and removed from the code.,35,VULNERABILITY,30min,HIGH,SECURITY,1,"This is a VULNERABILITY (secrets:S6703) flagging a hardcoded database password in mssql/pyodbc.py. The file has a security_rating of E, confirming a serious security concern. Hardcoded credentials represent an immediate, exploitable risk that should be addressed first, and the 30-minute remediation effort is modest relative to the potential impact."
AZ4INX3_UdMD1-xUqr9w,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,Make sure this MySQL database password gets changed and removed from the code.,218,VULNERABILITY,30min,HIGH,SECURITY,2,"This is a VULNERABILITY (secrets:S6697) flagging a hardcoded MySQL database password in mysql/base.py. The file has 7 vulnerabilities and a security_rating of E, indicating a highly problematic security posture. Hardcoded credentials are critical to remediate promptly."
AZ4INX3_UdMD1-xUqr9x,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,Make sure this MySQL database password gets changed and removed from the code.,323,VULNERABILITY,30min,HIGH,SECURITY,3,"This is another VULNERABILITY (secrets:S6697) in the same mysql/base.py file with security_rating E and 7 file vulnerabilities. It flags a second hardcoded MySQL password at a different line, making it equally urgent to investigate alongside alert 15."
AZ4INX3_UdMD1-xUqr9y,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,Make sure this MySQL database password gets changed and removed from the code.,343,VULNERABILITY,30min,HIGH,SECURITY,4,This is a third VULNERABILITY (secrets:S6697) in mysql/base.py flagging yet another hardcoded MySQL password. The file's security_rating of E and 7 total vulnerabilities reinforce the urgency of addressing all credential exposures in this file.
AZ4INX3_UdMD1-xUqr9l,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1515,"Add a parameter to function ""replace"" and use variable ""column"" as its default value;The value of ""column"" might change at the next loop iteration.",1377,CODE_SMELL,30min,MEDIUM,MAINTAINABILITY,5,"This CODE_SMELL (python:S1515) in mysql/base.py warns that a closure captures a loop variable that may change at the next iteration, which is a latent bug pattern that can cause incorrect runtime behavior. The file has 7 vulnerabilities and security_rating E, and the issue itself has a 30-minute effort estimate, suggesting meaningful complexity. Closure/loop-variable capture bugs are often subtle and worth prioritizing."
AZ4INX42UdMD1-xUqr_Z,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3923,Remove this if statement or edit its code blocks so that they're not all the same.,1106,BUG,15min,MEDIUM,RELIABILITY,6,"This is a BUG (python:S3923) in oracle/base.py where all branches of an if statement are identical, indicating dead or erroneous logic. The file has a reliability_rating of C and 1 bug, with very high complexity (cyclomatic 400, cognitive 473), making this a meaningful correctness concern in a complex, high-risk file."
AZ4INX4mUdMD1-xUqr-v,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3923,Remove this if statement or edit its code blocks so that they're not all the same.,506,BUG,15min,MEDIUM,RELIABILITY,7,"This is a BUG (python:S3923) in oracle/cx_oracle.py where all branches of an if statement are identical. The file has reliability_rating C and 1 bug, with significant complexity (cyclomatic 163, cognitive 186). Duplicate branch logic in a database driver is a real correctness risk worth investigating."
AZ4INX28UdMD1-xUqr7l,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S3776,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,2533,CODE_SMELL,10min,HIGH,MAINTAINABILITY,8,"This CODE_SMELL (python:S3776) in mssql/base.py flags a function with cognitive complexity of 20 against a threshold of 15. The file is extremely large (4012 lines, cognitive complexity 409, cyclomatic 422) with 22 code smells, making maintainability a significant concern. High complexity in a large, heavily-used dialect file increases the risk of latent bugs."
AZ4INX54UdMD1-xUqsBJ,lib/sqlalchemy/connectors/pyodbc.py,pyodbc.py,python:S3776,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,62,CODE_SMELL,26min,HIGH,MAINTAINABILITY,9,"This CODE_SMELL (python:S3776) in the pyodbc connector flags a function with cognitive complexity of 36 against a threshold of 15, a very large overage. The file's overall cognitive complexity is 52 and cyclomatic complexity is 40, indicating this single function dominates the file's complexity and poses a maintainability and correctness risk."
AZ4INX28UdMD1-xUqr7f,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,"Rename field ""visit_DATETIME"" to prevent any misunderstanding/clash with method ""visit_datetime"" defined on line 1698",1702,CODE_SMELL,10min,HIGH,MAINTAINABILITY,10,"This CODE_SMELL (python:S1845) in mssql/base.py warns of a naming clash between field 'visit_DATETIME' and method 'visit_datetime', which could cause subtle dispatch errors in Python. The file is extremely complex (cognitive 409, cyclomatic 422) with 22 code smells, and naming clashes in visitor patterns can lead to hard-to-diagnose bugs."
AZ4INX28UdMD1-xUqr7g,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,"Rename method ""visit_TEXT"" to prevent any misunderstanding/clash with method ""visit_text"" defined on line 1724",1739,CODE_SMELL,10min,HIGH,MAINTAINABILITY,11,"This CODE_SMELL (python:S1845) in mssql/base.py flags a naming clash between method 'visit_TEXT' and method 'visit_text'. In Python's case-insensitive-by-convention visitor dispatch, such clashes can cause incorrect method resolution. The file's extreme complexity amplifies the risk."
AZ4INX28UdMD1-xUqr7h,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,"Rename field ""visit_DATE"" to prevent any misunderstanding/clash with method ""visit_date"" defined on line 1754",1758,CODE_SMELL,10min,HIGH,MAINTAINABILITY,12,"This CODE_SMELL (python:S1845) in mssql/base.py flags a naming clash between field 'visit_DATE' and method 'visit_date'. Similar to alerts 2 and 3, this can cause subtle dispatch errors in a highly complex file (cognitive complexity 409)."
AZ4INX28UdMD1-xUqr7i,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,"Rename method ""visit_time"" to prevent any misunderstanding/clash with method ""visit_TIME"" defined on line 1685",1763,CODE_SMELL,10min,HIGH,MAINTAINABILITY,13,"This CODE_SMELL (python:S1845) in mssql/base.py flags a naming clash between method 'visit_time' and method 'visit_TIME'. The same visitor-pattern dispatch risk applies as with alerts 2–4, in the same extremely complex file."
AZ4INX4IUdMD1-xUqr-L,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S2638,Add missing parameters _translate_args.,312,CODE_SMELL,15min,HIGH,MAINTAINABILITY,14,"This CODE_SMELL (python:S2638) in aiomysql.py flags a missing parameter '_translate_args' in a method override, which could cause runtime errors if the parent method is called with that argument. The file has 16 code smells and moderate complexity, and missing parameters in overrides are a real correctness risk."
AZ4INX4RUdMD1-xUqr-e,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S2638,Add missing parameters _translate_args.,314,CODE_SMELL,15min,HIGH,MAINTAINABILITY,15,This CODE_SMELL (python:S2638) in asyncmy.py flags the same missing parameter '_translate_args' issue as alert 11 but in a different async MySQL driver file. Missing override parameters can cause runtime failures and deserve prompt attention.
