issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,satd_count,satd_text,pool_rank,c2_rank,llm_reasoning
AZ4INX21UdMD1-xUqr7X,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,secrets:S6703,HIGH,SECURITY,VULNERABILITY,Make sure this database password gets changed and removed from the code.,35,30min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,7,1,"This is a VULNERABILITY (secrets:S6703) flagging a hardcoded database password in mssql/pyodbc.py. The file has a security_rating of E, confirming a serious security concern. Hardcoded credentials represent an immediate, exploitable risk that should be addressed first, and the 30-minute remediation effort is modest relative to the potential impact."
AZ4INX3_UdMD1-xUqr9w,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,218,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,15,2,"This is a VULNERABILITY (secrets:S6697) flagging a hardcoded MySQL database password in mysql/base.py. The file has 7 vulnerabilities and a security_rating of E, indicating a highly problematic security posture. Hardcoded credentials are critical to remediate promptly."
AZ4INX3_UdMD1-xUqr9x,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,323,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,16,3,"This is another VULNERABILITY (secrets:S6697) in the same mysql/base.py file with security_rating E and 7 file vulnerabilities. It flags a second hardcoded MySQL password at a different line, making it equally urgent to investigate alongside alert 15."
AZ4INX3_UdMD1-xUqr9y,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,343,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,17,4,This is a third VULNERABILITY (secrets:S6697) in mysql/base.py flagging yet another hardcoded MySQL password. The file's security_rating of E and 7 total vulnerabilities reinforce the urgency of addressing all credential exposures in this file.
AZ4INX3_UdMD1-xUqr9l,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1515,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a parameter to function ""replace"" and use variable ""column"" as its default value;The value of ""column"" might change at the next loop iteration.",1377,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,22,5,"This CODE_SMELL (python:S1515) in mysql/base.py warns that a closure captures a loop variable that may change at the next iteration, which is a latent bug pattern that can cause incorrect runtime behavior. The file has 7 vulnerabilities and security_rating E, and the issue itself has a 30-minute effort estimate, suggesting meaningful complexity. Closure/loop-variable capture bugs are often subtle and worth prioritizing."
AZ4INX42UdMD1-xUqr_Z,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3923,MEDIUM,RELIABILITY,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,1106,15min,1.0,0.0,11.0,12.0,400.0,473.0,208.0,3273.0,C,A,7,7,272,54,3.0,"technically, this could be supported, but as it would be | This type seems to be very hard to cast into something else | outerjoin + where null works better on oracle 21 but 11 does",29,6,"This is a BUG (python:S3923) in oracle/base.py where all branches of an if statement are identical, indicating dead or erroneous logic. The file has a reliability_rating of C and 1 bug, with very high complexity (cyclomatic 400, cognitive 473), making this a meaningful correctness concern in a complex, high-risk file."
AZ4INX4mUdMD1-xUqr-v,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3923,MEDIUM,RELIABILITY,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,506,15min,1.0,0.0,21.0,22.0,163.0,186.0,113.0,1484.0,C,A,5,4,98,2,9.0,TODO: the names used across CHAR / VARCHAR / NCHAR / NVARCHAR | here are inconsistent and not very good | take care of reserved words | TODO: we could likely do away with quoting altogether for | this is the only way to ensure a transaction is started without | TODO: Others ? | TODO: others? | TODO: need to end XA state here | TODO: need to end XA state here,30,7,"This is a BUG (python:S3923) in oracle/cx_oracle.py where all branches of an if statement are identical. The file has reliability_rating C and 1 bug, with significant complexity (cyclomatic 163, cognitive 186). Duplicate branch logic in a database driver is a real correctness risk worth investigating."
AZ4INX28UdMD1-xUqr7l,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,2533,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",6,8,"This CODE_SMELL (python:S3776) in mssql/base.py flags a function with cognitive complexity of 20 against a threshold of 15. The file is extremely large (4012 lines, cognitive complexity 409, cyclomatic 422) with 22 code smells, making maintainability a significant concern. High complexity in a large, heavily-used dialect file increases the risk of latent bugs."
AZ4INX54UdMD1-xUqsBJ,lib/sqlalchemy/connectors/pyodbc.py,pyodbc.py,python:S3776,HIGH,MAINTAINABILITY,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,62,26min,0.0,0.0,1.0,1.0,40.0,52.0,26.0,250.0,A,A,3,2,15,116,1.0,"non-tuples as well as tuples, however it seems to assume ""0""",1,9,"This CODE_SMELL (python:S3776) in the pyodbc connector flags a function with cognitive complexity of 36 against a threshold of 15, a very large overage. The file's overall cognitive complexity is 52 and cyclomatic complexity is 40, indicating this single function dominates the file's complexity and poses a maintainability and correctness risk."
AZ4INX28UdMD1-xUqr7f,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,HIGH,MAINTAINABILITY,CODE_SMELL,"Rename field ""visit_DATETIME"" to prevent any misunderstanding/clash with method ""visit_datetime"" defined on line 1698",1702,10min,0.0,0.0,22.0,22.0,422.0,409.0,162.0,4012.0,A,A,19,8,396,2,4.0,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so",2,10,"This CODE_SMELL (python:S1845) in mssql/base.py warns of a naming clash between field 'visit_DATETIME' and method 'visit_datetime', which could cause subtle dispatch errors in Python. The file is extremely complex (cognitive 409, cyclomatic 422) with 22 code smells, and naming clashes in visitor patterns can lead to hard-to-diagnose bugs."
