file_path,satd_count,satd_text
lib/sqlalchemy/connectors/pyodbc.py,1,"non-tuples as well as tuples, however it seems to assume ""0"""
lib/sqlalchemy/dialects/mssql/base.py,4,"TODO: Why?  shouldn't we use TOP always ? | TODO: does this comment (from mysql) apply to here, too? | TODO: try to avoid having to run a separate query here | TODO: we support match=<keyword> for foreign keys so"
lib/sqlalchemy/dialects/mysql/base.py,3,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.
lib/sqlalchemy/dialects/mysql/enumerated.py,1,TODO: SET is a string as far as configuration but does not act like
lib/sqlalchemy/dialects/mysql/mariadbconnector.py,2,"work around JIRA issue | https://jira.mariadb.org/browse/CONPY-270.  When that issue is fixed,"
lib/sqlalchemy/dialects/mysql/mysqldb.py,1,note: the SQL here would be
lib/sqlalchemy/dialects/oracle/base.py,3,"technically, this could be supported, but as it would be | This type seems to be very hard to cast into something else | outerjoin + where null works better on oracle 21 but 11 does"
lib/sqlalchemy/dialects/oracle/cx_oracle.py,9,TODO: the names used across CHAR / VARCHAR / NCHAR / NVARCHAR | here are inconsistent and not very good | take care of reserved words | TODO: we could likely do away with quoting altogether for | this is the only way to ensure a transaction is started without | TODO: Others ? | TODO: others? | TODO: need to end XA state here | TODO: need to end XA state here
lib/sqlalchemy/dialects/oracle/provision.py,2,"this was meant to work around this issue: | TODO: oracledb claims to have this feature built in somehow,"
lib/sqlalchemy/dialects/postgresql/base.py,4,"FIXME: ugly hack to get out of transaction | NOTE: pg_index is used as from two times to improve performance, | NOTE: repeating oids clause improve query performance | it *might* be nice to include that this is 'btree' in the"
lib/sqlalchemy/dialects/sqlite/aiosqlite.py,1,"for improved stability, we instead invent our own awaitable version"
